,KFoldCV,BestHyperParameters,TrainAccuracy,TestAccuracy,LogLoss,TrainConfusionMatrix,TestConfusionMatrix,UnlabelledClass1,UnlabelledClass2
0,2,"{'criterion': 'mae', 'learning_rate': 0.1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,0.9444444444444444,30.70184532652523,"[[140   0]
 [  0  21]]","[[16  0]
 [ 1  1]]",161,19
1,3,"{'criterion': 'mae', 'learning_rate': 0.1, 'loss': 'deviance', 'max_features': 'sqrt', 'n_estimators': 100, 'warm_start': True}",1.0,0.9444444444444444,30.70184532652523,"[[140   0]
 [  0  21]]","[[16  0]
 [ 1  1]]",160,20
2,4,"{'criterion': 'mae', 'learning_rate': 0.1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,0.9444444444444444,30.70184532652523,"[[140   0]
 [  0  21]]","[[16  0]
 [ 1  1]]",161,19
3,5,"{'criterion': 'mae', 'learning_rate': 0.1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,0.9444444444444444,30.70184532652523,"[[140   0]
 [  0  21]]","[[16  0]
 [ 1  1]]",161,19
4,6,"{'criterion': 'mae', 'learning_rate': 0.1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,0.9444444444444444,30.70184532652523,"[[140   0]
 [  0  21]]","[[16  0]
 [ 1  1]]",161,19
5,7,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,0.9444444444444444,30.70184532652523,"[[140   0]
 [  0  21]]","[[16  0]
 [ 1  1]]",161,19
6,8,"{'criterion': 'mae', 'learning_rate': 0.1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,0.9444444444444444,30.70184532652523,"[[140   0]
 [  0  21]]","[[16  0]
 [ 1  1]]",161,19
7,9,"{'criterion': 'mae', 'learning_rate': 0.1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,0.9444444444444444,30.70184532652523,"[[140   0]
 [  0  21]]","[[16  0]
 [ 1  1]]",161,19
8,10,"{'criterion': 'mae', 'learning_rate': 0.1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,0.9444444444444444,30.70184532652523,"[[140   0]
 [  0  21]]","[[16  0]
 [ 1  1]]",161,19
